group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched,2024-12-03,3248,1137,183425
VPN,Unmatched,2024-12-10,3167,1105,184530
VPN,Unmatched,2024-12-17,3314,1179,185709
VPN,Unmatched,2024-12-24,3056,1021,186730
VPN,Unmatched,2024-12-31,4182,1701,188431
VPN,Unmatched,2025-01-07,3488,1254,189685
VPN,Unmatched,2025-01-14,5209,2205,191890
VPN,Unmatched,2025-01-21,4030,1512,193402
VPN,Unmatched,2025-01-28,4646,1742,195144
VPN,Unmatched,2025-02-04,4449,1597,196741
VPN,Unmatched,2025-02-11,5318,2264,199005
VPN,Unmatched,2025-02-18,5334,2107,201112
VPN,Unmatched,2025-02-25,5195,2032,203144
VPN,Unmatched,2025-03-04,4090,1439,204583
VPN,Unmatched,2025-03-11,4009,1412,205995
VPN,Unmatched,2025-03-18,3339,1102,207097
VPN,Unmatched,2025-03-25,3682,1174,208271
VPN,Unmatched,2025-04-01,3188,1085,209356
VPN,Unmatched,2025-04-08,3089,996,210352
VPN,Unmatched,2025-04-15,3510,1183,211535
VPN,Unmatched,2025-04-22,3817,1267,212802
VPN,Unmatched,2025-04-29,3235,1085,213887
VPN,Unmatched,2025-05-06,3165,1066,214953
VPN,Unmatched,2025-05-13,3406,1009,215962
VPN,Unmatched,2025-05-20,3175,1106,217068
VPN,Unmatched,2025-05-27,3291,1043,218111
VPN,Unmatched,2025-06-03,3580,1177,219288
VPN,Unmatched,2025-06-10,3141,1058,220346
VPN,Unmatched,2025-06-17,3872,1321,221667
VPN,Unmatched,2025-06-24,4433,1595,223262
VPN,Unmatched,2025-07-01,3703,1335,224597
VPN,Unmatched,2025-07-08,3810,1243,225840
VPN,Unmatched,2025-07-15,3728,1305,227145
VPN,Unmatched,2025-07-22,5121,2130,229275
VPN,Unmatched,2025-07-29,6075,2371,231646
VPN,Unmatched,2025-08-05,6003,2318,233964
VPN,Unmatched,2025-08-12,5350,2096,236060
VPN,Unmatched,2025-08-19,5555,1983,238043
VPN,Unmatched,2025-08-26,5695,2142,240185
VPN,Unmatched,2025-09-02,5350,1838,242023
VPN,Unmatched,2025-09-09,5608,2020,244043
VPN,Unmatched,2025-09-16,6027,2270,246313
VPN,Unmatched,2025-09-23,5120,1804,248117
VPN,Unmatched,2025-09-30,5661,1951,250068
VPN,Unmatched,2025-10-07,4892,1624,251692
VPN,Unmatched,2025-10-14,4749,1467,253159
VPN,Unmatched,2025-10-21,3631,1140,254299
VPN,Unmatched (UK),2021-10-26,247,247,247
VPN,Unmatched (UK),2021-11-02,284,215,462
VPN,Unmatched (UK),2021-11-09,220,134,596
VPN,Unmatched (UK),2021-11-16,221,129,725
VPN,Unmatched (UK),2021-11-23,221,121,846
VPN,Unmatched (UK),2021-11-30,209,113,959
VPN,Unmatched (UK),2021-12-07,211,99,1058
VPN,Unmatched (UK),2021-12-14,240,115,1173
VPN,Unmatched (UK),2021-12-21,268,121,1294
VPN,Unmatched (UK),2021-12-28,255,102,1396
VPN,Unmatched (UK),2022-01-04,283,131,1527
VPN,Unmatched (UK),2022-01-11,250,99,1626
VPN,Unmatched (UK),2022-01-18,287,120,1746
VPN,Unmatched (UK),2022-01-25,222,88,1834
VPN,Unmatched (UK),2022-02-01,247,92,1926
VPN,Unmatched (UK),2022-02-08,295,120,2046
VPN,Unmatched (UK),2022-02-15,232,79,2125
VPN,Unmatched (UK),2022-02-22,247,119,2244
VPN,Unmatched (UK),2022-03-01,212,86,2330
VPN,Unmatched (UK),2022-03-08,262,99,2429
VPN,Unmatched (UK),2022-03-15,244,85,2514
VPN,Unmatched (UK),2022-03-22,211,62,2576
VPN,Unmatched (UK),2022-03-29,200,63,2639
VPN,Unmatched (UK),2022-04-05,201,56,2695
VPN,Unmatched (UK),2022-04-12,210,65,2760
VPN,Unmatched (UK),2022-04-19,230,77,2837
VPN,Unmatched (UK),2022-04-26,235,68,2905
VPN,Unmatched (UK),2022-05-03,230,74,2979
VPN,Unmatched (UK),2022-05-10,225,60,3039
VPN,Unmatched (UK),2022-05-17,203,62,3101
VPN,Unmatched (UK),2022-05-24,248,70,3171
VPN,Unmatched (UK),2022-05-31,250,69,3240
VPN,Unmatched (UK),2022-06-07,242,70,3310
VPN,Unmatched (UK),2022-06-14,207,57,3367
VPN,Unmatched (UK),2022-06-21,201,59,3426
VPN,Unmatched (UK),2022-06-28,196,57,3483
VPN,Unmatched (UK),2022-07-05,221,56,3539
